Film,Major Studio,Rotten Tomatoes,Audience Score,Story,Genre,Number of Theatres in Opening Weekend,Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Market Profitability,Opening Weekend,Oscar,Bafta,Source,,Domestic Gross,Foreign Gross,Domestic Gross,Foreign Gross,worldwide,Budget,budget
,,,,,,,($),($m),($m),($m),,% of budget recovered,,,,all boxofficemojo.com except otherwise stated,,($m),($m),($m),($m),($m),($m),
The Sisterhood of the Traveling Pants 2,Warner Bros.,65,67,Journey and Return,,2707,3945,44.09,0.26,44.35,27.00,164.26%,10.68,,,,,44.09,0.26,44089964,,44.2,27000000,27
Speed Racer,Warner Bros.,38,61,Quest,Action,3606,5174,43.95,50.00,93.95,120.00,78.29%,18.6,,,,,43.95,50.00,43945766,,93.4,120000000,120
Prom Night,Independent,8,46,escape,Horror,2700,7705,43.87,13.33,57.20,18.00,317.76%,20.81,,,,,43.87,13.32,43869350,,57.2,18000000,18
Rambo,Lionsgate,36,70,Rescue,Action,2751,6617,42.75,70.49,113.24,47.50,238.41%,18.2,,,http://boxofficemojo.com/movies/?id=rambo08.htm,,42.75,70.49,42754105,,113.2,47500000,47.5
"Welcome Home, Roscoe Jenkins",Universal,24,64,discovery,Comedy,2387,6790,42.44,1.21,43.65,35.00,124.71%,16.21,,,http://boxofficemojo.com/movies/?id=roscoejenkins.htm,,42.19,1.21,42193500,,43.4,27500000,27.5
Tyler Perry's Meet the Browns,Independent,31,36,Discovery,Drama,2006,10011,41.98,,41.98,20.00,209.88%,20.08,,,http://boxofficemojo.com/movies/?id=meetthebrowns.htm,,41.98,0.00,41975388,,,20000000,20
Nights in Rodanthe,Warner Bros.,31,56,Discovery,Drama,2704,4962,41.85,42.52,84.37,30.00,281.25%,13.42,,,,,41.74,37.50,41736813,,75.7,30000000,30
Max Payne,Fox,16,36,Revenge,Action,3376,5225,40.69,44.73,85.42,35.00,244.05%,17.6,,,,,40.66,44.73,40656894,,84.2,35000000,35
Righteous Kill,Overture,19,44,The Riddle,Crime,3152,5168,40.08,38.38,78.46,60.00,130.77%,16.3,,,http://boxofficemojo.com/movies/?id=righteouskill.htm,,40.08,38.37,40081410,38379289,74,60000000,60
Lakeview Terrace,Sony,46,44,rivalry,Crime,2464,6090,39.26,5.39,44.65,20.00,223.27%,15,,,,,39.26,5.39,39263506,,43.8,20000000,20
Body of Lies,Warner Bros.,53,65,Temptation,Action,2710,4754,39.39,75.70,115.10,67.50,170.51%,12.9,,,,,39.19,75.70,39189913,,17.5,67500000,67.5
Meet the Spartans,Independent,2,31,comedy,Comedy,2605,7104,38.23,46.41,84.65,30.00,282.15%,18.51,,,,,38.23,46.41,38233676,,84.6,30000000,30
Harold and Kumar Escape from Guantanamo Bay,Warner Bros.,54,65,escape,Adventure,2510,5939,38.11,5.38,43.49,12.00,362.43%,14.91,,,,,38.11,5.38,38108728,,43.3,12000000,12
First Sunday,Sony,13,59,Comedy,Comedy,2213,8004,37.93,0.87,38.80,13.00,298.48%,17.7,,,,,37.93,0.87,37931869,,38.8,13000000,13
The Secret Life of Bees,Fox,56,78,Maturation,Drama,1591,6617,37.77,2.18,39.95,11.00,363.15%,10.53,,,,,37.43,2.18,37434318,,37.8,11000000,11
Tyler Perry's The Family That Preys,Independent,51,36,Discovery,Drama,2070,8397,37.11,,37.11,10.00,371.05%,17.38,,,http://boxofficemojo.com/movies/?id=familythatpreys.htm,,37.11,0.00,37105289,,,10000000,10
Death Race,Universal,42,69,escape,Action,2532,4985,36.32,39.36,75.68,45.00,168.17%,12.62,,,,,36.10,39.36,36097530,,73.8,45000000,45
Changeling,Independent,62,84,quest,Drama,1850,5055,35.74,77.28,113.02,55.00,205.49%,9.4,,,,,35.73,77.28,35694000,,66.9,55000000,55
Star Wars: The Clone Wars,Independent,19,46,sacrifice,Animation,3452,4233,35.16,33.12,68.28,8.50,803.32%,14.6,,,,,35.16,33.12,35161554,,65.6,8500000,8.5
Semi-Pro,Warner Bros.,21,41,underdog,Comedy,3121,4830,33.48,10.41,43.88,2.60,1687.85%,15.08,,,,,33.48,10.41,33479698,,43.9,2600000,2.6
Fireproof,Independent,40,51,love,Drama,839,8148,33.46,0.02,33.47,0.50,6694.40%,6.84,,,http://boxofficemojo.com/movies/?page=main&id=Fireproof.htm,,33.45,0.02,33149106,,,500000,0.5
Drillbit Taylor,Paramount,26,49,Comedy,Comedy,3056,3373,32.86,16.83,49.69,40.00,124.23%,10.3,,,,,32.86,16.82,32862104,,49.7,40000000,40
The Love Guru,Paramount,14,38,Comedy,Comedy,3012,4617,32.24,8.63,40.86,62.00,65.91%,13.91,,,,,32.20,8.63,32200122,,40.8,62000000,62
"Definitely, Maybe",Universal,71,72,Discovery,Comedy,2204,4430,32.24,23.21,55.45,7.00,792.10%,9.76,,,,,32.01,23.20,32013120,,55,7000000,7
Milk,Universal,94,88,quest,Biography,36,40385,31.84,22.75,54.59,20.00,272.93%,1.5,"Best Actor, Original Screenplay",,http://www.the-numbers.com/movies/2008/HMILK.php,,31.84,18.32,17124000,,,20000000,20
Transporter 3,Independent,36,58,escape,Action,2626,4594,31.72,77.26,108.98,30.00,363.26%,12.06,,,,,31.72,77.26,31715062,,60.9,30000000,30
Quarantine,Sony,59,46,Monster Force,Horror,2461,5775,31.69,9.63,41.32,12.00,344.33%,14.2,,,http://boxofficemojo.com/movies/?id=rachelgettingmarried.htm,,31.69,9.62,31691811,,37.2,12000000,12
Nick and Norah's Infinite Playlist,Sony,73,67,Love,Comedy,2421,4672,31.49,2.02,33.51,10.00,335.05%,11.31,,,,,31.49,2.04,31487293,,31.7,10000000,10
The Eye,Lionsgate,22,51,Sacrifice,Horror,2436,5101,31.42,25.55,56.96,12.00,474.69%,12.4,,,,,31.42,25.55,31418697,,56.8,12000000,12
Zack and Miri Make a Porno,The Weinstein Company,64,70,Love,Romance,3735,3680,31.46,10.65,42.10,24.00,175.43%,10.07,,,http://boxofficemojo.com/movies/?id=zackandmirimakeaporno.htm,,31.30,10.64,31301000,,36.6,24000000,24
Leatherheads,Universal,52,41,Rivalry,Comedy,2769,4580,31.37,9.93,41.30,58.00,71.20%,12.7,,,,,31.23,9.93,31230175,,41,58000000,58
Mirrors,Independent,14,49,monster force,Horror,2664,4190,30.69,46.80,77.49,35.00,221.39%,11.2,,,,,30.69,46.80,30691439,,73.4,35000000,35
