Film,Lead Studio,Rotten Tomatoes,Audience  score,Story,Genre,Number of Theatres in Opening Weekend (US),Box Office Average per US Cinema (Opening Weekend),Domestic Gross,Foreign Gross,Worldwide Gross,Budget,Proftitability,Opening Weekend,Oscar,Bafta,Source,,,,,,
,,,,,,,($),($m),($m),($m),($m),% of budget recovered,($m),,,,,,,,,
Kick-Ass,Independent,76,83,Rivalry,Action,3065,6469,48.07,48.12,96.188,30,320.63%,19.8,,,,,,,,,
Killers,Lionsgate,11,45,Love,Action,2859,5539,47.06,51.10,98.16,75,130.88%,15.8,,,,,,,,,
Knight and Day,Fox,53,52,Pursuit,Action,3098,6501,76.42,185.51,261.927,117,223.87%,20.2,,,,,,,,,
Leap Year,Universal,21,49,Love,Comedy,2511,3665,25.92,6.69,32.608,19,171.62%,9.2,,,,,,,,,
Legend of the Guardians: The Owls of Ga'Hoole,Warner Bros.,51,65,Rivalry,Animation,3575,4507,55.68,84.40,140.073,80,175.09%,16.1,,,,,,,,,
Legion,Independent,19,36,Monster Force,Action,2476,7069,40.17,27.75,67.92,26,261.23%,17.5,,,,,,,,,
Letters to Juliet,Summit,40,62,Love,Comedy,2968,4562,53.03,26.15,79.179,30,263.93%,13.5,,,,,,,,,
Life as We Know It,Independent,28,62,Love,Comedy,3150,4605,53.13,43.03,53.374,52.274,102.10%,14.5,,,,,,,,,
Little Fockers,Independent,9,40,Comedy,Comedy,3536,8720,148.44,162.21,310.649,100,310.65%,30.83,,,,,,,,,
Love & Other Drugs,Fox,48,55,Love,Comedy,2455,3967,32.37,70.44,102.802,30,342.67%,9.74,,,,,,,,,
MacGruber,Independent,47,33,Comedy,Action,2551,1585,8.53,0.80,9.327,10,93.27%,4,,,,,,,,,
Machete,Independent,73,66,Revenge,Action,2670,4276,26.59,17.50,44.089,20,220.45%,11,,,,,,,,,
Marmaduke,Fox,9,46,Rivalry,Comedy,3213,3610,33.64,50.12,83.757,50,167.51%,11.6,,,,,,,,,
Megamind,Paramount,72,73,Transformation,Animation,3944,11668,148.42,173.47,321.884,130,247.60%,46.02,,,,,,,,,
Morning Glory,Independent,54,54,Comedy,Comedy,2518,3655,31.01,29.03,60.039,40,150.10%,9.2,,,,,,,,,
My Soul to Take,Relativity Media,9,29,Monster Force,Horror,2572,2660,14.74,6.23,20.971,25,83.88%,6.84,,,,,,,,,
Nanny McPhee Returns,Universal,77,54,Comedy,Comedy,2784,3020,29.01,64.23,93.24,35,266.40%,8.4,,,,,,,,,
Never Let Me Go,Independent,70,70,Tragedy,Drama,4,,2.43,7.02,9.45,15,63.00%,0.11,,,,,,,,,
Our Family Wedding,Independent,14,49,Love,Comedy,1605,4754,20.26,1.15,21.413,,,7.6,,,,,,,,,
Paranormal Activity 2,Paramount,,,Monster Force,Horror,3216,12649,84.75,92.76,177.511,3,5917.03%,40.67,,,http://boxofficemojo.com/movies/?id=paranormalactivity2.htm,,,,,,
Percy Jackson & the Olympians: The Lightning Thief,Fox,50,57,Rivalry,Action,3356,9308,88.77,137.73,226.5,95,238.42%,31.2,,,,,,,,,
Piranha 3-D,The Weinstein Company,74,45,Monster Force,Comedy,2470,4092,25.00,58.19,83.188,24,346.62%,10.1,,,http://www.the-numbers.com/movies/2009/ABSTV.php,,,,,,
Please Give,Sony,88,62,Comedy,Comedy,,,4.03,0.28,4.309,3,143.63%,0.1,,,,,,,,,
Predators,Fox,64,52,Monster Force,Action,2669,9277,52.00,75.23,127.232,40,318.08%,24.8,,,,,,,,,
Prince of Persia: The Sands of Time,Disney,36,71,Rivalry,Action,3646,8254,90.76,245.61,336.365,200,168.18%,30,,,,,,,,,
Red,Summit,71,72,Rivalry,Action,3255,6686,90.38,108.63,199.006,58,343.11%,21.8,,,,,,,,,
Remember Me,Summit,28,70,Love,Drama,2212,3657,19.07,36.96,56.034,16,350.21%,8,,,,,,,,,
Repo Men,Universal,22,43,Rescue,Action,2521,2430,13.79,4.62,18.41,32,57.53%,6.1,,,,,,,,,
Resident Evil: Afterlife,Highlight Communications,24,53,Monster Force,Action,3203,8320,60.13,236.09,296.22,60,493.70%,26.7,,,,,,,,,
Robin Hood,Universal,42,59,Rivalry,Action,3503,10295,105.27,216.40,321.669,200,160.83%,36,,,,,,,,,
Salt,Sony,62,62,Revenge,Action,3612,9970,118.31,175.19,293.502,110,266.82%,36,,,,,,,,,
