Studio,Color,Genre,Color,Film - 2011,Color,Film - 2010,Color,Film - 2009,Color,Film - 2008,Color,300,Color
,,,,Rise of the Planet of the Apes,#FF75FF,Scott Pilgrim vs. the World,,Pandorum,,Saw V,,TMNT,
,,,,Sanctum,#FF75FF,Sex and the City 2,,Paranormal Activity,,Semi-Pro,,Transformers,
,,,,Scream 4,#FF75FF,She's Out of My League,,Paul Blart: Mall Cop,,Seven Pounds,,Tyler Perry's Why Did I get Married,
,,,,Season Of The Witch,#FF75FF,Shrek Forever After,,"Pirate Radio (The Boat that Rocked, UK)",,Sex and the City,,Vacancy,
,,,,Shame,#FF75FF,Shutter Island,,Planet 51,,Sex Drive,,Waitress,
,,,,Shark Night 3D,#FF75FF,Skyline,,Post Grad,,Shutter,,Walk Hard: The Dewey Cox Story,
,,,,Sherlock Holmes 2,#FF75FF,Solitary Man,,Public Enemies,,Slumdog Millionaire,,We Own the Night,
,,,,Something Borrowed,#E65CE6,Step Up 3D,,Push,,Smart People,,Wild Hogs,
,,,,Soul Surfer,#E65CE7,Stone,,Race to Witch Mountain,,Soul Men,,Zodiac,
,,,,Source Code,#E65CE8,Takers,,Saw VI,,Space Chimps,,,
,,,,Spy Kids: All The Time in the World,#E65CE9,Tangled,,Sherlock Holmes,,Speed Racer,,,
,,,,Sucker Punch,#E65CE10,The American,,Sorority Row,,Star Wars: The Clone Wars,,,
,,,,Super 8,#E65CE11,The A-Team,,Star Trek,,Step Brothers,,,
,,,,Take Me Home Tonight,#E65CE12,The Back-up Plan,,State of Play,,Step Up 2: The Streets,,,
,,,,Take Shelter,#E65CE13,The Book of Eli,,Street Fighter: The Legend of Chun-Li,,Stop-Loss,,,
,,,,The Adjustment Bureau,#E65CE14,The Bounty Hunter,,Sunshine Cleaning,,Street Kings,,,
,,,,The Adventures of Tintin,#E65CE15,The Chronicles of Narnia: The Voyage of the Dawn Treader,,Surrogates,,Superhero Movie,,,
,,,,The Artist,#E65CE16,The Crazies,,Taken,,Swing Vote,,,
,,,,The Beaver,#E65CE17,The Expendables,,Taking Woodstock,,The Bank Job,,,
,,,,The Big Year,#E65CE18,The Fighter,,Terminator Salvation,,The Boy in the Striped Pyjamas,,,
,,,,The Change Up,#E65CE19,The Ghost Writer,,The Blind Side,,The Chronicles of Narnia: Prince Caspian,,,
,,,,The Company Men,#E65CE20,The Joneses,,The Box,,The Curious Case of Benjamin Button,,,
,,,,The Conspirator,#E65CE21,The Karate Kid,,The Final Destination,,The Dark Knight,,,
,,,,The Debt,#E65CE22,The Kids Are All Right,,The Fourth Kind,,The Day the Earth Stood Still,,,
,,,,The Descendants,#E65CE23,The King's Speech,,The Hangover,,The Duchess,,,
,,,,The Dilemma,#E65CE24,The Last Airbender,,The Haunting in Connecticut,,The Express,,,
,,,,The Eagle,#B247B2,The Last Exorcism,,The Hurt Locker,,The Eye,,,
,,,,The Girl With The Dragon Tattoo,#B247B3,The Last Song,,The Informant!,,The Forbidden Kingdom,,,
,,,,The Green Hornet,#B247B4,The Losers,,The International,,The Happening,,,
,,,,The Hangover Part II,#B247B5,The Next Three Days,,The Invention of Lying,,The Haunting of Molly Hartley,,,
,,,,The Help,#B247B6,The Other Guys,,The Lovely Bones,,The House Bunny,,,
,,,,The Ides of March,#B247B7,The Runaways,,The Men Who Stare at Goats,,The Incredible Hulk,,,
,,,,The Iron Lady,#B247B8,The Social Network,,The Pink Panther 2,,The Longshots,,,
,,,,The Lincoln Lawyer,#B247B9,The Sorcerer's Apprentice,,The Princess and the Frog,,The Love Guru,,,
,,,,The Mechanic,#B247B10,The Spy Next Door,,The Proposal,,The Mummy: Tomb of the Dragon Emperor,,,
,,,,The Muppets,#B247B11,The Switch,,The Road,,The Other Boleyn Girl,,,
,,,,The Rite,#B247B12,The Tourist,,The Soloist,,The Pirates Who Don't Do Anything,,,
,,,,The Roommate,#B247B13,The Town,,The Stepfather,,The Ruins,,,
,,,,The Rum Diary,#B247B14,The Twilight Saga: Eclipse,,The Taking of Pelham 1 2 3,,The Secret Life of Bees,,,
,,,,The Sitter,#803380,The Wolfman,,The Time Traveler's Wife,,The Sisterhood of the Traveling Pants 2,,,
,,,,The Smurfs,#803381,Tooth Fairy,,The Twilight Saga: New Moon,,The Spiderwick Chronicles,,,
,,,,The Thing,#803382,Toy Story 3,,The Ugly Truth,,The Spirit,,,
,,,,The Three Musketeers,#803383,Tron: Legacy,,The Unborn,,The Strangers,,,
,,,,The Tree Of Life,#803384,True Grit,,The Uninvited,,The Tale of Despereaux,,,
,,,,Thor,#803385,Unstoppable,,Transformers: Revenge of the Fallen,,The Visitor,,,
,,,,Tinker Tailor Soldier Spy,#803386,Valentine's Day,,Underworld: Rise of the Lycans,,The Women,,,
,,,,Tower Heist,#803387,Vampires Suck,,Up,,The X-Files: I Want to Believe,,,
,,,,Transformers: Dark of the Moon,#803388,Wall Street: Money Never Sleeps,,Up in the Air,,Traitor,,,
,,,,Twilight: Breaking Dawn,#803389,When in Rome,,Watchmen,,Transporter 3,,,
,,,,Unknown,#803390,Why Did I Get Married Too?,,Whatever Works,,Tropic Thunder,,,
,,,,War Horse,#803391,Winter's Bone,,Where the Wild Things Are,,Twilight,,,
