Film,Lead Studio,RottenTomatoes,Audience  score,Story,Genre,Worldwide Gross,Total,,
Cowboys and Aliens,Universal,44,50,Monster Force,Action,174.82,,0,0
Fast Five,Universal,78,83,Escape,Action,626.13,,0,0
Hanna,Universal,71,67,Quest,Action,63.78,,0,0
Larry Crowne,Universal,34,46,Discovery,Drama,72.01,,0,0
The Debt,Universal,76,70,Pursuit,Thriller,45.64,,0,0
The Eagle,Universal,39,43,Quest,Action,27.12,,0,0
The Thing,Universal,36,52,Monster Force,Horror,27.43,,0,0
Your Highness,Universal,26,36,Comedy,Comedy,24.86,1061.79,0.045472266,4.54722657
Abduction,Vertigo Entertainment,4,46,Maturation,Action,82.09,82.09,0.00351559,0.351558999
Happy Feet 2,Village Roadshow Pictures,41,59,Journey and Return,Animation,150.41,150.41,0.006441465,0.644146534
Limitless,Virgin,69,73,Wretched Excess,Thriller,161.85,161.85,0.006931395,0.693139529
Arthur,Warner Bros,26,49,Sacrifice,Comedy,45.74,,0,0
Contagion,Warner Bros,84,63,The Riddle,Thriller,135.46,,0,0
"Crazy, Stupid, Love",Warner Bros,78,81,Discovery,Romance,142.85,,0,0
Friends With Benefits,Warner Bros,71,68,Temptation,Romance,149.54,,0,0
Green Lantern,Warner Bros,27,48,Metamorphosis,Action,219.85,,0,0
Hall Pass,Warner Bros,35,44,Temptation,Comedy,83.16,,0,0
Harry Potter and the Deathly Hallows Part 2,Warner Bros,96,92,Rivalry,Fantasy,"1,341.51",,0,0
Horrible Bosses,Warner Bros,69,72,Revenge,Comedy,209.64,,0,0
J.Edgar,Warner Bros,42,84,Wretched Excess,Drama,84.61,,0,0
Red Riding Hood,Warner Bros,11,41,Monster Force,Horror,89.16,,0,0
Sherlock Holmes 2,Warner Bros,60,79,Pursuit,Action,545.45,,0,0
The Rite,Warner Bros,20,43,Monster Force,Horror,96.05,,0,0
Extremely Loud and Incredibly Close,Warner Bros.,47,62,,Drama,55.247,,0,0
New Year's Eve,Warner Bros.,8,48,Love,Romance,142.04,3340.307,0.143052136,14.3052136
Apollo 18,Weinstein Company,23,31,Monster Force,Horror,25.56,,0,0
Scream 4,Weinstein Company,58,57,Monster Force,Horror,97.14,,0,0
Spy Kids: All The Time in the World,Weinstein Company,22,40,Quest,Action,85.56,,0,0
The Artist,Weinstein Company,97,91,,Drama,133.432,,0,0
The Company Men,Weinstein Company,66,55,Discovery,Drama,4.88,,0,0
The Iron Lady,Weinstein Company,53,54,,Drama,114.955,461.527,0.019765376,1.97653758
,,,,,,23350.277,23350.277,1,100
